year,state,month,number
2016,Goiás,Nov,123
2017,Goiás,Nov,117
1998,Goiás,Dec,13
1999,Goiás,Dec,20
2000,Goiás,Dec,6
2001,Goiás,Dec,18
2002,Goiás,Dec,115
2003,Goiás,Dec,129
2004,Goiás,Dec,56
2005,Goiás,Dec,5
2006,Goiás,Dec,7
2007,Goiás,Dec,16
2008,Goiás,Dec,6
2009,Goiás,Dec,39
2010,Goiás,Dec,48
2011,Goiás,Dec,39
2012,Goiás,Dec,93
2013,Goiás,Dec,86
2014,Goiás,Dec,68
2015,Goiás,Dec,179
2016,Goiás,Dec,64
1998,Maranhão,Jan,0
1999,Maranhão,Jan,54
2000,Maranhão,Jan,19
2001,Maranhão,Jan,29
2002,Maranhão,Jan,48
2003,Maranhão,Jan,436
2004,Maranhão,Jan,241
2005,Maranhão,Jan,450
2006,Maranhão,Jan,221
2007,Maranhão,Jan,428
2008,Maranhão,Jan,121
2009,Maranhão,Jan,240
2010,Maranhão,Jan,319
2011,Maranhão,Jan,124
2012,Maranhão,Jan,326
2013,Maranhão,Jan,209
2014,Maranhão,Jan,195
2015,Maranhão,Jan,494
2016,Maranhão,Jan,412
2017,Maranhão,Jan,187
1998,Maranhão,Feb,0
1999,Maranhão,Feb,6
2000,Maranhão,Feb,11
2001,Maranhão,Feb,1
2002,Maranhão,Feb,116
2003,Maranhão,Feb,11
2004,Maranhão,Feb,22
2005,Maranhão,Feb,56
2006,Maranhão,Feb,22
2007,Maranhão,Feb,13
2008,Maranhão,Feb,45
2009,Maranhão,Feb,20
2010,Maranhão,Feb,93
2011,Maranhão,Feb,9
2012,Maranhão,Feb,46
2013,Maranhão,Feb,62
2014,Maranhão,Feb,29
2015,Maranhão,Feb,95
2016,Maranhão,Feb,318
2017,Maranhão,Feb,47
1998,Maranhão,Mar,0
1999,Maranhão,Mar,17
2000,Maranhão,Mar,6
2001,Maranhão,Mar,0
2002,Maranhão,Mar,16
2003,Maranhão,Mar,16
2004,Maranhão,Mar,18
2005,Maranhão,Mar,9
2006,Maranhão,Mar,14
2007,Maranhão,Mar,52
2008,Maranhão,Mar,4
2009,Maranhão,Mar,33
2010,Maranhão,Mar,82
2011,Maranhão,Mar,22
2012,Maranhão,Mar,49
2013,Maranhão,Mar,30
2014,Maranhão,Mar,59
2015,Maranhão,Mar,53
2016,Maranhão,Mar,113
2017,Maranhão,Mar,32
1998,Maranhão,Apr,0
1999,Maranhão,Apr,4
2000,Maranhão,Apr,6
2001,Maranhão,Apr,2
2002,Maranhão,Apr,28
2003,Maranhão,Apr,79
2004,Maranhão,Apr,44
2005,Maranhão,Apr,43
2006,Maranhão,Apr,9
2007,Maranhão,Apr,5
2008,Maranhão,Apr,26
2009,Maranhão,Apr,14
2010,Maranhão,Apr,128
2011,Maranhão,Apr,37
2012,Maranhão,Apr,97
2013,Maranhão,Apr,62
2014,Maranhão,Apr,78
2015,Maranhão,Apr,119
2016,Maranhão,Apr,113
2017,Maranhão,Apr,91
1998,Maranhão,May,0
1999,Maranhão,May,3
2000,Maranhão,May,28
2001,Maranhão,May,21
2002,Maranhão,May,71
2003,Maranhão,May,60
2004,Maranhão,May,145
2005,Maranhão,May,74
2006,Maranhão,May,5
2007,Maranhão,May,73
2008,Maranhão,May,26
2009,Maranhão,May,19
2010,Maranhão,May,273
2011,Maranhão,May,73
2012,Maranhão,May,286
2013,Maranhão,May,100
2014,Maranhão,May,148
2015,Maranhão,May,194
2016,Maranhão,May,206
2017,Maranhão,May,142
1998,Maranhão,Jun,78
1999,Maranhão,Jun,32
2000,Maranhão,Jun,94
2001,Maranhão,Jun,100
2002,Maranhão,Jun,230
2003,Maranhão,Jun,338
2004,Maranhão,Jun,706
2005,Maranhão,Jun,529
2006,Maranhão,Jun,131
2007,Maranhão,Jun,515
2008,Maranhão,Jun,235
2009,Maranhão,Jun,279
2010,Maranhão,Jun,494
2011,Maranhão,Jun,602
2012,Maranhão,Jun,915
2013,Maranhão,Jun,498
2014,Maranhão,Jun,812
2015,Maranhão,Jun,887
2016,Maranhão,Jun,709
2017,Maranhão,Jun,885
1998,Maranhão,Jul,274
1999,Maranhão,Jul,258
2000,Maranhão,Jul,233
2001,Maranhão,Jul,549
2002,Maranhão,Jul,1271
2003,Maranhão,Jul,1103
2004,Maranhão,Jul,1366
2005,Maranhão,Jul,1152
2006,Maranhão,Jul,512
2007,Maranhão,Jul,1205
2008,Maranhão,Jul,502
2009,Maranhão,Jul,972
2010,Maranhão,Jul,2323
2011,Maranhão,Jul,1024
2012,Maranhão,Jul,3548
2013,Maranhão,Jul,1111
2014,Maranhão,Jul,2068
2015,Maranhão,Jul,1642
2016,Maranhão,Jul,2096
2017,Maranhão,Jul,2521
1998,Maranhão,Aug,1176
1999,Maranhão,Aug,895
2000,Maranhão,Aug,839
2001,Maranhão,Aug,2037
2002,Maranhão,Aug,3481
2003,Maranhão,Aug,2023
2004,Maranhão,Aug,1889
2005,Maranhão,Aug,2239
2006,Maranhão,Aug,1382
2007,Maranhão,Aug,8409
2008,Maranhão,Aug,713
2009,Maranhão,Aug,1766
2010,Maranhão,Aug,6353
2011,Maranhão,Aug,2138
2012,Maranhão,Aug,10395
2013,Maranhão,Aug,2098
2014,Maranhão,Aug,5592
2015,Maranhão,Aug,5428
2016,Maranhão,Aug,3723
2017,Maranhão,Aug,3875
1998,Maranhão,Sep,3935
1999,Maranhão,Sep,1739
2000,Maranhão,Sep,1365
2001,Maranhão,Sep,4618
2002,Maranhão,Sep,3181
2003,Maranhão,Sep,5878
2004,Maranhão,Sep,4673
2005,Maranhão,Sep,6292
2006,Maranhão,Sep,2907
2007,Maranhão,Sep,8524
2008,Maranhão,Sep,2761
2009,Maranhão,Sep,2404
2010,Maranhão,Sep,9795
2011,Maranhão,Sep,4632
2012,Maranhão,Sep,7626
2013,Maranhão,Sep,3880
2014,Maranhão,Sep,4373
2015,Maranhão,Sep,6423
2016,Maranhão,Sep,3166
2017,Maranhão,Sep,14825
1998,Maranhão,Oct,5137
1999,Maranhão,Oct,3208
2000,Maranhão,Oct,2654
2001,Maranhão,Oct,6661
2002,Maranhão,Oct,5182
2003,Maranhão,Oct,6085
2004,Maranhão,Oct,3604
2005,Maranhão,Oct,6472
2006,Maranhão,Oct,3024
2007,Maranhão,Oct,4772
2008,Maranhão,Oct,3498
2009,Maranhão,Oct,1861
2010,Maranhão,Oct,3228
2011,Maranhão,Oct,2404
2012,Maranhão,Oct,5000
2013,Maranhão,Oct,2918
2014,Maranhão,Oct,5812
2015,Maranhão,Oct,6746
2016,Maranhão,Oct,5351
2017,Maranhão,Oct,6011
1998,Maranhão,Nov,2237
1999,Maranhão,Nov,1494
2000,Maranhão,Nov,2267
2001,Maranhão,Nov,3525
2002,Maranhão,Nov,5830
2003,Maranhão,Nov,4929
2004,Maranhão,Nov,6398
2005,Maranhão,Nov,4769
2006,Maranhão,Nov,2004
2007,Maranhão,Nov,2297
2008,Maranhão,Nov,2331
2009,Maranhão,Nov,5000
2010,Maranhão,Nov,4005
2011,Maranhão,Nov,2261
2012,Maranhão,Nov,2010
2013,Maranhão,Nov,2529
2014,Maranhão,Nov,3869
2015,Maranhão,Nov,4350
2016,Maranhão,Nov,3982
2017,Maranhão,Nov,2300
1998,Maranhão,Dec,1399
1999,Maranhão,Dec,1001
2000,Maranhão,Dec,1461
2001,Maranhão,Dec,1296
2002,Maranhão,Dec,2165
2003,Maranhão,Dec,2424
2004,Maranhão,Dec,3255
2005,Maranhão,Dec,1660
2006,Maranhão,Dec,1052
2007,Maranhão,Dec,800
2008,Maranhão,Dec,1101
2009,Maranhão,Dec,1768
2010,Maranhão,Dec,1803
2011,Maranhão,Dec,1629
2012,Maranhão,Dec,1296
2013,Maranhão,Dec,2692
2014,Maranhão,Dec,2400
2015,Maranhão,Dec,3706
2016,Maranhão,Dec,1577
1998,Mato Grosso,Jan,0
1999,Mato Grosso,Jan,39
2000,Mato Grosso,Jan,44
2001,Mato Grosso,Jan,44
2002,Mato Grosso,Jan,172
2003,Mato Grosso,Jan,896
2004,Mato Grosso,Jan,301
2005,Mato Grosso,Jan,438
2006,Mato Grosso,Jan,947
2007,Mato Grosso,Jan,476
2008,Mato Grosso,Jan,245
2009,Mato Grosso,Jan,527
2010,Mato Grosso,Jan,298
2011,Mato Grosso,Jan,171
2012,Mato Grosso,Jan,166
2013,Mato Grosso,Jan,269
2014,Mato Grosso,Jan,315
2015,Mato Grosso,Jan,960
2016,Mato Grosso,Jan,374
2017,Mato Grosso,Jan,482
1998,Mato Grosso,Feb,0
1999,Mato Grosso,Feb,28
2000,Mato Grosso,Feb,35
2001,Mato Grosso,Feb,54
2002,Mato Grosso,Feb,22
2003,Mato Grosso,Feb,592
2004,Mato Grosso,Feb,272
2005,Mato Grosso,Feb,871
2006,Mato Grosso,Feb,383
2007,Mato Grosso,Feb,213
2008,Mato Grosso,Feb,180
2009,Mato Grosso,Feb,248
2010,Mato Grosso,Feb,431
2011,Mato Grosso,Feb,119
2012,Mato Grosso,Feb,193
2013,Mato Grosso,Feb,375
2014,Mato Grosso,Feb,199
2015,Mato Grosso,Feb,542
2016,Mato Grosso,Feb,1050
2017,Mato Grosso,Feb,337
1998,Mato Grosso,Mar,0
1999,Mato Grosso,Mar,18
2000,Mato Grosso,Mar,60
2001,Mato Grosso,Mar,24
2002,Mato Grosso,Mar,103
2003,Mato Grosso,Mar,554
2004,Mato Grosso,Mar,743
2005,Mato Grosso,Mar,362
2006,Mato Grosso,Mar,448
2007,Mato Grosso,Mar,476
2008,Mato Grosso,Mar,180
2009,Mato Grosso,Mar,325
2010,Mato Grosso,Mar,605
2011,Mato Grosso,Mar,252
2012,Mato Grosso,Mar,423
2013,Mato Grosso,Mar,563
2014,Mato Grosso,Mar,655
2015,Mato Grosso,Mar,705
2016,Mato Grosso,Mar,1085
2017,Mato Grosso,Mar,719
1998,Mato Grosso,Apr,0
1999,Mato Grosso,Apr,76
2000,Mato Grosso,Apr,59
2001,Mato Grosso,Apr,309
2002,Mato Grosso,Apr,641
2003,Mato Grosso,Apr,903
2004,Mato Grosso,Apr,441
2005,Mato Grosso,Apr,372
2006,Mato Grosso,Apr,161
2007,Mato Grosso,Apr,79
2008,Mato Grosso,Apr,274
2009,Mato Grosso,Apr,169
2010,Mato Grosso,Apr,769
2011,Mato Grosso,Apr,345
2012,Mato Grosso,Apr,521
2013,Mato Grosso,Apr,338
2014,Mato Grosso,Apr,859
2015,Mato Grosso,Apr,947
2016,Mato Grosso,Apr,1770
2017,Mato Grosso,Apr,606
1998,Mato Grosso,May,0
1999,Mato Grosso,May,731
2000,Mato Grosso,May,1194
2001,Mato Grosso,May,1193
2002,Mato Grosso,May,2528
2003,Mato Grosso,May,942
2004,Mato Grosso,May,2413
2005,Mato Grosso,May,1641
2006,Mato Grosso,May,269
2007,Mato Grosso,May,359
2008,Mato Grosso,May,119
2009,Mato Grosso,May,516
2010,Mato Grosso,May,1313
2011,Mato Grosso,May,547
2012,Mato Grosso,May,812
2013,Mato Grosso,May,739
2014,Mato Grosso,May,933
2015,Mato Grosso,May,541
2016,Mato Grosso,May,1081
2017,Mato Grosso,May,845
1998,Mato Grosso,Jun,2201
1999,Mato Grosso,Jun,2201
2000,Mato Grosso,Jun,4358
2001,Mato Grosso,Jun,6665
2002,Mato Grosso,Jun,7878
2003,Mato Grosso,Jun,4313
2004,Mato Grosso,Jun,9813
2005,Mato Grosso,Jun,2294
2006,Mato Grosso,Jun,856
2007,Mato Grosso,Jun,1339
2008,Mato Grosso,Jun,403
2009,Mato Grosso,Jun,979
2010,Mato Grosso,Jun,1025
2011,Mato Grosso,Jun,974
2012,Mato Grosso,Jun,1651
2013,Mato Grosso,Jun,1213
2014,Mato Grosso,Jun,1795
2015,Mato Grosso,Jun,1402
2016,Mato Grosso,Jun,1417
2017,Mato Grosso,Jun,2041
1998,Mato Grosso,Jul,3712
1999,Mato Grosso,Jul,3926
2000,Mato Grosso,Jul,1338
2001,Mato Grosso,Jul,1555
2002,Mato Grosso,Jul,5661
2003,Mato Grosso,Jul,5435
2004,Mato Grosso,Jul,11517
2005,Mato Grosso,Jul,4172
2006,Mato Grosso,Jul,1941
2007,Mato Grosso,Jul,1790
2008,Mato Grosso,Jul,1117
2009,Mato Grosso,Jul,1613
2010,Mato Grosso,Jul,3442
2011,Mato Grosso,Jul,1061
2012,Mato Grosso,Jul,2008
2013,Mato Grosso,Jul,1630
2014,Mato Grosso,Jul,2255
2015,Mato Grosso,Jul,1533
2016,Mato Grosso,Jul,3495
2017,Mato Grosso,Jul,2790
1998,Mato Grosso,Aug,15406
1999,Mato Grosso,Aug,18566
2000,Mato Grosso,Aug,6063
2001,Mato Grosso,Aug,7762
2002,Mato Grosso,Aug,14086
2003,Mato Grosso,Aug,11132
2004,Mato Grosso,Aug,13603
2005,Mato Grosso,Aug,11570
2006,Mato Grosso,Aug,6218
2007,Mato Grosso,Aug,14453
2008,Mato Grosso,Aug,2875
2009,Mato Grosso,Aug,2250
2010,Mato Grosso,Aug,14608
2011,Mato Grosso,Aug,2628
2012,Mato Grosso,Aug,6195
2013,Mato Grosso,Aug,3568
2014,Mato Grosso,Aug,7167
2015,Mato Grosso,Aug,5112
2016,Mato Grosso,Aug,6228
2017,Mato Grosso,Aug,6229
1998,Mato Grosso,Sep,10363
1999,Mato Grosso,Sep,11729
2000,Mato Grosso,Sep,6251
2001,Mato Grosso,Sep,8490
2002,Mato Grosso,Sep,11034
2003,Mato Grosso,Sep,15790
2004,Mato Grosso,Sep,24994
2005,Mato Grosso,Sep,20551
2006,Mato Grosso,Sep,12661
2007,Mato Grosso,Sep,25963
2008,Mato Grosso,Sep,7965
2009,Mato Grosso,Sep,3129
2010,Mato Grosso,Sep,18366
2011,Mato Grosso,Sep,6332
2012,Mato Grosso,Sep,10344
2013,Mato Grosso,Sep,5576
2014,Mato Grosso,Sep,7081
2015,Mato Grosso,Sep,11068
2016,Mato Grosso,Sep,8980
2017,Mato Grosso,Sep,23945
1998,Mato Grosso,Oct,2707
1999,Mato Grosso,Oct,6109
2000,Mato Grosso,Oct,6062
2001,Mato Grosso,Oct,6543
2002,Mato Grosso,Oct,9375
2003,Mato Grosso,Oct,5341
2004,Mato Grosso,Oct,9295
2005,Mato Grosso,Oct,7765
2006,Mato Grosso,Oct,2327
2007,Mato Grosso,Oct,4890
2008,Mato Grosso,Oct,6326
2009,Mato Grosso,Oct,2579
2010,Mato Grosso,Oct,4465
2011,Mato Grosso,Oct,2010
2012,Mato Grosso,Oct,2837
2013,Mato Grosso,Oct,1986
2014,Mato Grosso,Oct,5281
2015,Mato Grosso,Oct,6490
2016,Mato Grosso,Oct,2749
2017,Mato Grosso,Oct,4800
1998,Mato Grosso,Nov,182
1999,Mato Grosso,Nov,842
2000,Mato Grosso,Nov,502
2001,Mato Grosso,Nov,373
2002,Mato Grosso,Nov,2905
2003,Mato Grosso,Nov,2097
2004,Mato Grosso,Nov,2405
2005,Mato Grosso,Nov,1368
2006,Mato Grosso,Nov,1031
2007,Mato Grosso,Nov,299
2008,Mato Grosso,Nov,190
2009,Mato Grosso,Nov,588
2010,Mato Grosso,Nov,768
2011,Mato Grosso,Nov,1103
2012,Mato Grosso,Nov,375
2013,Mato Grosso,Nov,1064
2014,Mato Grosso,Nov,1018
2015,Mato Grosso,Nov,1930
2016,Mato Grosso,Nov,918
2017,Mato Grosso,Nov,813
1998,Mato Grosso,Dec,76
1999,Mato Grosso,Dec,47
2000,Mato Grosso,Dec,98
2001,Mato Grosso,Dec,37
2002,Mato Grosso,Dec,1157
2003,Mato Grosso,Dec,1622
2004,Mato Grosso,Dec,1217
2005,Mato Grosso,Dec,246
2006,Mato Grosso,Dec,23
2007,Mato Grosso,Dec,81
2008,Mato Grosso,Dec,159
2009,Mato Grosso,Dec,171
2010,Mato Grosso,Dec,846
2011,Mato Grosso,Dec,431
2012,Mato Grosso,Dec,492
2013,Mato Grosso,Dec,447
2014,Mato Grosso,Dec,466
2015,Mato Grosso,Dec,1777
2016,Mato Grosso,Dec,425
1998,Mato Grosso do Sul,Jan,0
1999,Mato Grosso do Sul,Jan,239
2000,Mato Grosso do Sul,Jan,326
2001,Mato Grosso do Sul,Jan,97
2002,Mato Grosso do Sul,Jan,304
2003,Mato Grosso do Sul,Jan,182
2004,Mato Grosso do Sul,Jan,258
2005,Mato Grosso do Sul,Jan,59
2006,Mato Grosso do Sul,Jan,59
2007,Mato Grosso do Sul,Jan,19
2008,Mato Grosso do Sul,Jan,63
2009,Mato Grosso do Sul,Jan,229
2010,Mato Grosso do Sul,Jan,72
2011,Mato Grosso do Sul,Jan,129
2012,Mato Grosso do Sul,Jan,201
2013,Mato Grosso do Sul,Jan,174
2014,Mato Grosso do Sul,Jan,197
2015,Mato Grosso do Sul,Jan,226
2016,Mato Grosso do Sul,Jan,127
2017,Mato Grosso do Sul,Jan,355
1998,Mato Grosso do Sul,Feb,0
1999,Mato Grosso do Sul,Feb,69
2000,Mato Grosso do Sul,Feb,81
2001,Mato Grosso do Sul,Feb,89
2002,Mato Grosso do Sul,Feb,98
2003,Mato Grosso do Sul,Feb,108
2004,Mato Grosso do Sul,Feb,169
2005,Mato Grosso do Sul,Feb,221
2006,Mato Grosso do Sul,Feb,104
2007,Mato Grosso do Sul,Feb,111
2008,Mato Grosso do Sul,Feb,78
2009,Mato Grosso do Sul,Feb,164
2010,Mato Grosso do Sul,Feb,157
2011,Mato Grosso do Sul,Feb,61
2012,Mato Grosso do Sul,Feb,112
2013,Mato Grosso do Sul,Feb,100
2014,Mato Grosso do Sul,Feb,139
2015,Mato Grosso do Sul,Feb,148
2016,Mato Grosso do Sul,Feb,187
2017,Mato Grosso do Sul,Feb,165
1998,Mato Grosso do Sul,Mar,0
1999,Mato Grosso do Sul,Mar,100
2000,Mato Grosso do Sul,Mar,23
2001,Mato Grosso do Sul,Mar,39
2002,Mato Grosso do Sul,Mar,115
2003,Mato Grosso do Sul,Mar,137
2004,Mato Grosso do Sul,Mar,225
2005,Mato Grosso do Sul,Mar,158
2006,Mato Grosso do Sul,Mar,137
2007,Mato Grosso do Sul,Mar,137
2008,Mato Grosso do Sul,Mar,97
2009,Mato Grosso do Sul,Mar,118
2010,Mato Grosso do Sul,Mar,149
2011,Mato Grosso do Sul,Mar,37
2012,Mato Grosso do Sul,Mar,169
2013,Mato Grosso do Sul,Mar,158
2014,Mato Grosso do Sul,Mar,95
2015,Mato Grosso do Sul,Mar,190
2016,Mato Grosso do Sul,Mar,143
2017,Mato Grosso do Sul,Mar,170
1998,Mato Grosso do Sul,Apr,0
1999,Mato Grosso do Sul,Apr,97
2000,Mato Grosso do Sul,Apr,90
2001,Mato Grosso do Sul,Apr,108
2002,Mato Grosso do Sul,Apr,230
2003,Mato Grosso do Sul,Apr,126
2004,Mato Grosso do Sul,Apr,97
2005,Mato Grosso do Sul,Apr,126
2006,Mato Grosso do Sul,Apr,51
2007,Mato Grosso do Sul,Apr,46
2008,Mato Grosso do Sul,Apr,72
2009,Mato Grosso do Sul,Apr,291
2010,Mato Grosso do Sul,Apr,136
2011,Mato Grosso do Sul,Apr,23
2012,Mato Grosso do Sul,Apr,97
2013,Mato Grosso do Sul,Apr,78
2014,Mato Grosso do Sul,Apr,129
2015,Mato Grosso do Sul,Apr,65
2016,Mato Grosso do Sul,Apr,161
2017,Mato Grosso do Sul,Apr,59
1998,Mato Grosso do Sul,May,0
1999,Mato Grosso do Sul,May,206
2000,Mato Grosso do Sul,May,127
2001,Mato Grosso do Sul,May,112
2002,Mato Grosso do Sul,May,88
2003,Mato Grosso do Sul,May,74
2004,Mato Grosso do Sul,May,25
2005,Mato Grosso do Sul,May,328
2006,Mato Grosso do Sul,May,99
2007,Mato Grosso do Sul,May,62
2008,Mato Grosso do Sul,May,34
2009,Mato Grosso do Sul,May,927
2010,Mato Grosso do Sul,May,105
2011,Mato Grosso do Sul,May,81
2012,Mato Grosso do Sul,May,157
2013,Mato Grosso do Sul,May,72
2014,Mato Grosso do Sul,May,70
2015,Mato Grosso do Sul,May,58
2016,Mato Grosso do Sul,May,97
2017,Mato Grosso do Sul,May,72
1998,Mato Grosso do Sul,Jun,82
1999,Mato Grosso do Sul,Jun,127
2000,Mato Grosso do Sul,Jun,157
2001,Mato Grosso do Sul,Jun,249
2002,Mato Grosso do Sul,Jun,517
2003,Mato Grosso do Sul,Jun,170
2004,Mato Grosso do Sul,Jun,394
2005,Mato Grosso do Sul,Jun,439
2006,Mato Grosso do Sul,Jun,89
2007,Mato Grosso do Sul,Jun,141
2008,Mato Grosso do Sul,Jun,24
2009,Mato Grosso do Sul,Jun,376
2010,Mato Grosso do Sul,Jun,149
2011,Mato Grosso do Sul,Jun,104
2012,Mato Grosso do Sul,Jun,96
2013,Mato Grosso do Sul,Jun,35
2014,Mato Grosso do Sul,Jun,84
2015,Mato Grosso do Sul,Jun,299
2016,Mato Grosso do Sul,Jun,120
2017,Mato Grosso do Sul,Jun,175
1998,Mato Grosso do Sul,Jul,360
1999,Mato Grosso do Sul,Jul,1297
2000,Mato Grosso do Sul,Jul,160
2001,Mato Grosso do Sul,Jul,591
2002,Mato Grosso do Sul,Jul,935
2003,Mato Grosso do Sul,Jul,182
2004,Mato Grosso do Sul,Jul,529
2005,Mato Grosso do Sul,Jul,859
2006,Mato Grosso do Sul,Jul,289
2007,Mato Grosso do Sul,Jul,197
2008,Mato Grosso do Sul,Jul,116
2009,Mato Grosso do Sul,Jul,354
2010,Mato Grosso do Sul,Jul,589
2011,Mato Grosso do Sul,Jul,250
2012,Mato Grosso do Sul,Jul,538
2013,Mato Grosso do Sul,Jul,201
2014,Mato Grosso do Sul,Jul,193
2015,Mato Grosso do Sul,Jul,371
2016,Mato Grosso do Sul,Jul,687
2017,Mato Grosso do Sul,Jul,1050
1998,Mato Grosso do Sul,Aug,228
1999,Mato Grosso do Sul,Aug,4355
2000,Mato Grosso do Sul,Aug,530
2001,Mato Grosso do Sul,Aug,2484
2002,Mato Grosso do Sul,Aug,3984
2003,Mato Grosso do Sul,Aug,953
2004,Mato Grosso do Sul,Aug,1408
2005,Mato Grosso do Sul,Aug,4484
2006,Mato Grosso do Sul,Aug,1129
2007,Mato Grosso do Sul,Aug,1823
2008,Mato Grosso do Sul,Aug,456
2009,Mato Grosso do Sul,Aug,816
2010,Mato Grosso do Sul,Aug,1721
2011,Mato Grosso do Sul,Aug,552
2012,Mato Grosso do Sul,Aug,2951
2013,Mato Grosso do Sul,Aug,677
2014,Mato Grosso do Sul,Aug,312
2015,Mato Grosso do Sul,Aug,1293
2016,Mato Grosso do Sul,Aug,1481
2017,Mato Grosso do Sul,Aug,1488
1998,Mato Grosso do Sul,Sep,457
1999,Mato Grosso do Sul,Sep,2969
2000,Mato Grosso do Sul,Sep,510
2001,Mato Grosso do Sul,Sep,1383
2002,Mato Grosso do Sul,Sep,2252
2003,Mato Grosso do Sul,Sep,1124
2004,Mato Grosso do Sul,Sep,2511
2005,Mato Grosso do Sul,Sep,1870
2006,Mato Grosso do Sul,Sep,1078
2007,Mato Grosso do Sul,Sep,4446
2008,Mato Grosso do Sul,Sep,1620
2009,Mato Grosso do Sul,Sep,1146
2010,Mato Grosso do Sul,Sep,1505
2011,Mato Grosso do Sul,Sep,1072
2012,Mato Grosso do Sul,Sep,2264
2013,Mato Grosso do Sul,Sep,1074
2014,Mato Grosso do Sul,Sep,365
2015,Mato Grosso do Sul,Sep,1482
2016,Mato Grosso do Sul,Sep,2383
2017,Mato Grosso do Sul,Sep,2984
1998,Mato Grosso do Sul,Oct,576
1999,Mato Grosso do Sul,Oct,2053
2000,Mato Grosso do Sul,Oct,657
2001,Mato Grosso do Sul,Oct,563
2002,Mato Grosso do Sul,Oct,2173
2003,Mato Grosso do Sul,Oct,541
2004,Mato Grosso do Sul,Oct,960
2005,Mato Grosso do Sul,Oct,647
2006,Mato Grosso do Sul,Oct,244
2007,Mato Grosso do Sul,Oct,668
2008,Mato Grosso do Sul,Oct,432
2009,Mato Grosso do Sul,Oct,854
2010,Mato Grosso do Sul,Oct,597
2011,Mato Grosso do Sul,Oct,276
2012,Mato Grosso do Sul,Oct,652
2013,Mato Grosso do Sul,Oct,378
2014,Mato Grosso do Sul,Oct,581
2015,Mato Grosso do Sul,Oct,507
2016,Mato Grosso do Sul,Oct,1200
2017,Mato Grosso do Sul,Oct,685
1998,Mato Grosso do Sul,Nov,306
1999,Mato Grosso do Sul,Nov,1194
2000,Mato Grosso do Sul,Nov,274
2001,Mato Grosso do Sul,Nov,220
2002,Mato Grosso do Sul,Nov,1470
2003,Mato Grosso do Sul,Nov,380
2004,Mato Grosso do Sul,Nov,208
2005,Mato Grosso do Sul,Nov,159
2006,Mato Grosso do Sul,Nov,83
2007,Mato Grosso do Sul,Nov,82
2008,Mato Grosso do Sul,Nov,50
2009,Mato Grosso do Sul,Nov,439
2010,Mato Grosso do Sul,Nov,259
2011,Mato Grosso do Sul,Nov,445
2012,Mato Grosso do Sul,Nov,115
2013,Mato Grosso do Sul,Nov,423
2014,Mato Grosso do Sul,Nov,190
2015,Mato Grosso do Sul,Nov,276
2016,Mato Grosso do Sul,Nov,258
2017,Mato Grosso do Sul,Nov,133
1998,Mato Grosso do Sul,Dec,100
1999,Mato Grosso do Sul,Dec,306
2000,Mato Grosso do Sul,Dec,139
2001,Mato Grosso do Sul,Dec,143
2002,Mato Grosso do Sul,Dec,376
2003,Mato Grosso do Sul,Dec,153
2004,Mato Grosso do Sul,Dec,110
2005,Mato Grosso do Sul,Dec,46
2006,Mato Grosso do Sul,Dec,18
2007,Mato Grosso do Sul,Dec,15
2008,Mato Grosso do Sul,Dec,208
2009,Mato Grosso do Sul,Dec,87
2010,Mato Grosso do Sul,Dec,276
2011,Mato Grosso do Sul,Dec,577
2012,Mato Grosso do Sul,Dec,194
2013,Mato Grosso do Sul,Dec,195
2014,Mato Grosso do Sul,Dec,84
2015,Mato Grosso do Sul,Dec,394
2016,Mato Grosso do Sul,Dec,123
1998,Minas Gerais,Jan,0
1999,Minas Gerais,Jan,36
2000,Minas Gerais,Jan,24
2001,Minas Gerais,Jan,18
2002,Minas Gerais,Jan,29
2003,Minas Gerais,Jan,37
2004,Minas Gerais,Jan,22
2005,Minas Gerais,Jan,28
2006,Minas Gerais,Jan,109
2007,Minas Gerais,Jan,91
2008,Minas Gerais,Jan,85
2009,Minas Gerais,Jan,74
2010,Minas Gerais,Jan,118
2011,Minas Gerais,Jan,61
2012,Minas Gerais,Jan,75
2013,Minas Gerais,Jan,75
2014,Minas Gerais,Jan,133
2015,Minas Gerais,Jan,147
2016,Minas Gerais,Jan,61
2017,Minas Gerais,Jan,106
1998,Minas Gerais,Feb,0
1999,Minas Gerais,Feb,112
2000,Minas Gerais,Feb,20
2001,Minas Gerais,Feb,39
2002,Minas Gerais,Feb,62
2003,Minas Gerais,Feb,126
2004,Minas Gerais,Feb,29
2005,Minas Gerais,Feb,79
2006,Minas Gerais,Feb,96
2007,Minas Gerais,Feb,71
2008,Minas Gerais,Feb,59
2009,Minas Gerais,Feb,74
2010,Minas Gerais,Feb,155
2011,Minas Gerais,Feb,111
2012,Minas Gerais,Feb,123
2013,Minas Gerais,Feb,143
2014,Minas Gerais,Feb,157
2015,Minas Gerais,Feb,84
2016,Minas Gerais,Feb,207
2017,Minas Gerais,Feb,61
1998,Minas Gerais,Mar,0
1999,Minas Gerais,Mar,13
2000,Minas Gerais,Mar,24
2001,Minas Gerais,Mar,13
2002,Minas Gerais,Mar,62
2003,Minas Gerais,Mar,81
2004,Minas Gerais,Mar,81
2005,Minas Gerais,Mar,107
2006,Minas Gerais,Mar,69
2007,Minas Gerais,Mar,155
2008,Minas Gerais,Mar,61
2009,Minas Gerais,Mar,106
